,classifier,training_accuracy,testing_accuracy,percent_difference,overfitting_measure
0,SVM,0.8396370274914089,0.8599033816425121,-2.4137041944961855,-0.020266354151103227
2,LogReg,0.8437607388316151,0.8526570048309179,-1.0543588472274488,-0.008896265999302821
3,MLP,0.851975945017182,0.8405797101449275,1.3376240184838395,0.011396234872254496
1,RForest,0.8313359106529209,0.8357487922705314,-0.5308181158858796,-0.004412881617610553
