,classifier,training_accuracy,testing_accuracy,percent_difference,overfitting_measure
2,LogReg,0.6325601374570445,0.6714975845410628,-6.1555328542438215,-0.03893744708401825
0,SVM,0.6262993986254296,0.6690821256038647,-6.831034337943239,-0.042782726978435104
3,MLP,0.6407646048109965,0.6642512077294686,-3.66540266770818,-0.023486602918472044
1,RForest,0.6128221649484537,0.6328502415458938,-3.2681710523842957,-0.020028076597440103
