,precision,recall,f1-score,support
Class_1&2,0.7794117647058824,0.8833333333333333,0.828125,120.0
Class_3,0.48333333333333334,0.43283582089552236,0.4566929133858268,67.0
Class_4,0.7341772151898734,0.6373626373626373,0.6823529411764706,91.0
Class_5,0.6666666666666666,0.6756756756756757,0.6711409395973155,74.0
Class_6,0.78125,0.8064516129032258,0.7936507936507936,62.0
accuracy,0.7077294685990339,0.7077294685990339,0.7077294685990339,0.7077294685990339
macro avg,0.6889677959791511,0.6871318160340788,0.6863925175620813,414.0
weighted avg,0.7016756159750025,0.7077294685990339,0.702749569034927,414.0
