,precision,recall,f1-score,support
Class_1,0.6716417910447762,0.7258064516129032,0.6976744186046512,62.0
Class_2,0.5645161290322581,0.603448275862069,0.5833333333333334,58.0
Class_3,0.5625,0.5373134328358209,0.549618320610687,67.0
Class_4,0.7195121951219512,0.6483516483516484,0.6820809248554913,91.0
Class_5,0.6712328767123288,0.6621621621621622,0.6666666666666666,74.0
Class_6,0.7727272727272727,0.8225806451612904,0.796875,62.0
accuracy,0.6642512077294686,0.6642512077294686,0.6642512077294686,0.6642512077294686
macro avg,0.6603550441064311,0.666610435997649,0.6627081106784716,414.0
weighted avg,0.6645583576583283,0.6642512077294686,0.6635809716495671,414.0
