,precision,recall,f1-score,support
Class_1,0.6818181818181818,0.7258064516129032,0.703125,62.0
Class_2,0.5,0.5,0.5,58.0
Class_3,0.5573770491803278,0.5074626865671642,0.53125,67.0
Class_4,0.6896551724137931,0.6593406593406593,0.6741573033707865,91.0
Class_5,0.6179775280898876,0.7432432432432432,0.6748466257668712,74.0
Class_6,0.8113207547169812,0.6935483870967742,0.7478260869565218,62.0
accuracy,0.642512077294686,0.642512077294686,0.642512077294686,0.642512077294686
macro avg,0.6430247810365285,0.638233571310124,0.63853416934903,414.0
weighted avg,0.6459126428226303,0.642512077294686,0.6421248364850106,414.0
