,precision,recall,f1-score,support
Class_1&2,0.7985611510791367,0.925,0.8571428571428571,120.0
Class_3,0.6222222222222222,0.417910447761194,0.5,67.0
Class_4,0.6818181818181818,0.6593406593406593,0.6703910614525139,91.0
Class_5,0.5882352941176471,0.6756756756756757,0.6289308176100629,74.0
Class_6,0.7719298245614035,0.7096774193548387,0.7394957983193278,62.0
accuracy,0.7077294685990339,0.7077294685990339,0.7077294685990339,0.7077294685990339
macro avg,0.6925533347597183,0.6775208404264736,0.6791921069049524,414.0
weighted avg,0.7027795711385333,0.7077294685990339,0.6998849020489483,414.0
