,precision,recall,f1-score,support
Post-pubertal,0.9064748201438849,0.9264705882352942,0.9163636363636364,136.0
Pre-pubertal,0.8306451612903226,0.8583333333333333,0.8442622950819673,120.0
Pubertal,0.8211920529801324,0.7848101265822784,0.8025889967637541,158.0
accuracy,0.8526570048309179,0.8526570048309179,0.8526570048309179,0.8526570048309179
macro avg,0.8527706781381132,0.856538016050302,0.8544049760697859,414.0
weighted avg,0.8519476793847054,0.8526570048309179,0.8520434575941154,414.0
