,precision,recall,f1-score,support
Class_1&2,0.7801418439716312,0.9166666666666666,0.842911877394636,120.0
Class_3,0.5625,0.40298507462686567,0.46956521739130436,67.0
Class_4,0.7142857142857143,0.6593406593406593,0.6857142857142857,91.0
Class_5,0.6708860759493671,0.7162162162162162,0.6928104575163399,74.0
Class_6,0.8225806451612904,0.8225806451612904,0.8225806451612904,62.0
accuracy,0.7270531400966184,0.7270531400966184,0.7270531400966184,0.7270531400966184
macro avg,0.7100788558736006,0.7035578524023396,0.7027164966355712,414.0
weighted avg,0.7172707509585723,0.7270531400966184,0.7180634509873983,414.0
