,precision,recall,f1-score,support
Post-pubertal,0.8992805755395683,0.9191176470588235,0.9090909090909091,136.0
Pre-pubertal,0.8062015503875969,0.8666666666666667,0.8353413654618473,120.0
Pubertal,0.815068493150685,0.7531645569620253,0.7828947368421053,158.0
accuracy,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.8405797101449275
macro avg,0.8401835396926166,0.8463162902291718,0.8424423371316205,414.0
weighted avg,0.8401622372891332,0.8405797101449275,0.8395524055865652,414.0
