,precision,recall,f1-score,support
Class_1,0.6666666666666666,0.6774193548387096,0.672,62.0
Class_2,0.5573770491803278,0.5862068965517241,0.5714285714285714,58.0
Class_3,0.5806451612903226,0.5373134328358209,0.5581395348837209,67.0
Class_4,0.7159090909090909,0.6923076923076923,0.7039106145251397,91.0
Class_5,0.68,0.6891891891891891,0.6845637583892618,74.0
Class_6,0.8,0.8387096774193549,0.8188976377952756,62.0
accuracy,0.6714975845410628,0.6714975845410628,0.6714975845410628,0.6714975845410628
macro avg,0.6667663280077347,0.6701910405237484,0.6681566861703283,414.0
weighted avg,0.6706090706883363,0.6714975845410628,0.6707426173090982,414.0
