,precision,recall,f1-score,support
Class_1,0.703125,0.7258064516129032,0.7142857142857143,62.0
Class_2,0.543859649122807,0.5344827586206896,0.5391304347826087,58.0
Class_3,0.5,0.5223880597014925,0.5109489051094891,67.0
Class_4,0.7195121951219512,0.6483516483516484,0.6820809248554913,91.0
Class_5,0.691358024691358,0.7567567567567568,0.7225806451612903,74.0
Class_6,0.85,0.8225806451612904,0.8360655737704918,62.0
accuracy,0.6690821256038647,0.6690821256038647,0.6690821256038647,0.6690821256038647
macro avg,0.6679758114893527,0.6683943867007968,0.6675153663275143,414.0
weighted avg,0.6714340899332871,0.6690821256038647,0.6694812889444374,414.0
