,precision,recall,f1-score,support
Post-pubertal,0.9064748201438849,0.9264705882352942,0.9163636363636364,136.0
Pre-pubertal,0.8455284552845529,0.8666666666666667,0.8559670781893004,120.0
Pubertal,0.8289473684210527,0.7974683544303798,0.8129032258064516,158.0
accuracy,0.8599033816425121,0.8599033816425121,0.8599033816425121,0.8599033816425121
macro avg,0.8603168812831635,0.8635352031107802,0.8617446467864628,414.0
weighted avg,0.8592214357107272,0.8599033816425121,0.8593724966318598,414.0
