,precision,recall,f1-score,support
Class_1,0.7166666666666667,0.6935483870967742,0.7049180327868853,62.0
Class_2,0.49206349206349204,0.5344827586206896,0.512396694214876,58.0
Class_3,0.5689655172413793,0.4925373134328358,0.528,67.0
Class_4,0.6704545454545454,0.6483516483516484,0.659217877094972,91.0
Class_5,0.5858585858585859,0.7837837837837838,0.6705202312138728,74.0
Class_6,0.8260869565217391,0.6129032258064516,0.7037037037037037,62.0
accuracy,0.6328502415458938,0.6328502415458938,0.6328502415458938,0.6328502415458938
macro avg,0.6433492939677348,0.6276011861820305,0.629792756502385,414.0
weighted avg,0.6441449174454954,0.6328502415458938,0.6329393233148511,414.0
