,precision,recall,f1-score,support
Post-pubertal,0.8794326241134752,0.9117647058823529,0.8953068592057761,136.0
Pre-pubertal,0.8045112781954887,0.8916666666666667,0.8458498023715415,120.0
Pubertal,0.8214285714285714,0.7278481012658228,0.7718120805369127,158.0
accuracy,0.8357487922705314,0.8357487922705314,0.8357487922705314,0.8357487922705314
macro avg,0.8351241579125118,0.8437598246049475,0.8376562473714101,414.0
weighted avg,0.8355794795860038,0.8357487922705314,0.8338406228536299,414.0
