,precision,recall,f1-score,support
Class_1&2,0.7769784172661871,0.9,0.833976833976834,120.0
Class_3,0.5740740740740741,0.4626865671641791,0.512396694214876,67.0
Class_4,0.7142857142857143,0.6043956043956044,0.6547619047619048,91.0
Class_5,0.5520833333333334,0.7162162162162162,0.6235294117647059,74.0
Class_6,0.7708333333333334,0.5967741935483871,0.6727272727272727,62.0
accuracy,0.6859903381642513,0.6859903381642513,0.6859903381642513,0.6859903381642513
macro avg,0.6776509744585285,0.6560145162648774,0.6594784234891187,414.0
weighted avg,0.6892420443677265,0.6859903381642513,0.680776326817945,414.0
